,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
"1.000   NO,  this doesn't look like an ex-JPEG image.",f1g6o0pi5gw51.png,"551,282","518,392","514,480","474,758","975,374","445,540","446,810","477,061","515,597","418,032","408,414",16.35%,15.47%,6.56%,118.92%,23.73%,0.29%,7.07%,15.72%,-6.17%,-8.33%
"1.273 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 2, 1.",f83dwkzmdee51.png,"564,262","402,310","395,310","299,439","838,256","278,604","296,246","329,903","388,726","306,876","268,207",44.40%,41.89%,7.48%,200.88%,102.53%,6.33%,18.41%,39.53%,10.15%,-3.73%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fan2qmvi10061.png,"114,693","105,510","105,263","95,473","215,396","91,870","92,307","96,367","99,356","89,284","88,170",14.85%,14.58%,3.92%,134.46%,24.84%,0.48%,4.89%,8.15%,-2.81%,-4.03%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fejfk0m9dsz31.png,"815,876","542,992","529,487","492,670","1,031,313","471,894","474,511","487,154","495,958","439,452","437,478",15.07%,12.20%,4.40%,118.55%,72.89%,0.55%,3.23%,5.10%,-6.87%,-7.29%
1.090   Maybe. Try better methods.,fh3g1y2axlu31.png,"2,720,014","2,090,086","1,995,995","1,899,322","2,368,275","1,757,688","1,798,626","1,828,275","1,910,504","1,621,856","1,566,897",18.91%,13.56%,8.06%,34.74%,54.75%,2.33%,4.02%,8.69%,-7.73%,-10.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fj9ubzbxr2441.png,"620,222","486,392","477,816","372,994","756,148","367,078","440,268","484,099","629,677","363,336","342,754",32.50%,30.17%,1.61%,105.99%,68.96%,19.94%,31.88%,71.54%,-1.02%,-6.63%
"4.413 ! YES, this looks like an ex-JPEG image, no smoothing.",flgzp8rxws751.png,"481,859","317,022","310,284","292,575","856,974","269,328","272,609","323,845","349,061","292,400","246,878",17.71%,15.21%,8.63%,218.19%,78.91%,1.22%,20.24%,29.60%,8.57%,-8.34%
"1.000   NO,  this doesn't look like an ex-JPEG image.",frcy34xmn5c41.png,"1,133,431","910,196","881,376","844,772","1,058,100","782,225","790,354","797,660","833,330","731,136","743,492",16.36%,12.68%,8.00%,35.27%,44.90%,1.04%,1.97%,6.53%,-6.53%,-4.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fs8ajs8kd2y51.png,"143,270","135,244","134,703","126,447","245,842","115,196","115,928","120,862","124,902","110,796","112,294",17.40%,16.93%,9.77%,113.41%,24.37%,0.64%,4.92%,8.43%,-3.82%,-2.52%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fuq0it82hv351.png,"58,564","52,102","50,377","46,041","151,753","39,647","39,983","46,960","54,589","43,656","38,436",31.41%,27.06%,16.13%,282.76%,47.71%,0.85%,18.45%,37.69%,10.11%,-3.05%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fxs5sp5dwbu51.png,"1,692,669","1,675,698","1,405,294","1,204,853","5,160,646","1,104,742","1,108,480","1,336,548","1,881,364","1,134,024","969,326",51.68%,27.21%,9.06%,367.14%,53.22%,0.34%,20.98%,70.30%,2.65%,-12.26%
"1.000   NO,  this doesn't look like an ex-JPEG image.",g32j7ny0ubc51.png,"68,238","59,456","59,258","45,153","147,875","43,751","43,817","48,441","52,836","41,732","42,980",35.90%,35.44%,3.20%,237.99%,55.97%,0.15%,10.72%,20.77%,-4.61%,-1.76%
1.058   Maybe. Try better methods.,g4noc6157ly51.png,"398,374","391,526","388,051","318,531","1,648,713","302,607","299,269","325,355","387,386","338,108","286,607",29.38%,28.24%,5.26%,444.84%,31.65%,-1.10%,7.52%,28.02%,11.73%,-5.29%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gazlg0zbr7631.png,"270,865","254,292","253,658","233,069","452,323","196,897","197,956","216,138","574,914","198,500","182,461",29.15%,28.83%,18.37%,129.73%,37.57%,0.54%,9.77%,191.99%,0.81%,-7.33%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gc0zescjmdk41.png,"571,671","391,918","377,037","381,927","469,401","350,373","355,508","365,368","395,970","312,660","313,110",11.86%,7.61%,9.01%,33.97%,63.16%,1.47%,4.28%,13.01%,-10.76%,-10.64%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gpkitubb1xy51.png,"460,600","450,458","428,523","371,421","1,084,269","346,283","351,070","389,784","418,800","373,904","331,392",30.08%,23.75%,7.26%,213.12%,33.01%,1.38%,12.56%,20.94%,7.98%,-4.30%
"1.033   NO,  this doesn't look like an ex-JPEG image.",gqjzlfbj33941.png,"670,652","618,550","600,934","502,998","1,303,864","470,718","472,984","505,814","551,213","493,548","436,136",31.41%,27.66%,6.86%,176.99%,42.47%,0.48%,7.46%,17.10%,4.85%,-7.35%
"1.000   NO,  this doesn't look like an ex-JPEG image.",grcrlxc84lv31.png,"237,591","221,154","219,279","201,453","476,436","191,119","192,376","205,661","224,620","197,252","175,757",15.72%,14.73%,5.41%,149.29%,24.32%,0.66%,7.61%,17.53%,3.21%,-8.04%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gxeupa4v1zy51.png,"183,511","170,040","170,425","155,850","422,102","147,939","148,868","164,962","183,285","153,500","133,264",14.94%,15.20%,5.35%,185.32%,24.05%,0.63%,11.51%,23.89%,3.76%,-9.92%
"1.425 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 0, 2.",h6ddkmm8ghy41.png,"7,702,315","6,453,004","5,957,300","5,496,326","8,025,170","5,503,362","5,555,188","5,698,584","6,337,344","5,009,180","4,572,516",17.26%,8.25%,-0.13%,45.82%,39.96%,0.94%,3.55%,15.15%,-8.98%,-16.91%
"1.000   NO,  this doesn't look like an ex-JPEG image.",h7byj6rmvwm51.png,"236,289","188,570","180,643","151,366","384,784","126,556","127,300","132,838","147,927","111,068","110,264",49.00%,42.74%,19.60%,204.04%,86.71%,0.59%,4.96%,16.89%,-12.24%,-12.87%
"1.000   NO,  this doesn't look like an ex-JPEG image.",h8ei68h6d2y51.png,"1,643,440","1,144,674","1,115,122","1,116,458","1,573,421","874,603","906,684","966,471","1,250,838","858,120","788,712",30.88%,27.50%,27.65%,79.90%,87.91%,3.67%,10.50%,43.02%,-1.88%,-9.82%
"1.010   NO,  this doesn't look like an ex-JPEG image.",hgn92pwpfwu51.png,"4,559,201","2,905,668","2,478,997","1,988,155","8,025,019","1,985,029","1,998,568","2,416,645","2,924,498","2,000,836","1,673,851",46.38%,24.88%,0.16%,304.28%,129.68%,0.68%,21.74%,47.33%,0.80%,-15.68%
"1.012   NO,  this doesn't look like an ex-JPEG image.",hi4nhi2ab6k51.png,"3,328,412","2,491,562","2,470,625","2,557,662","4,299,667","2,412,735","2,944,765","3,206,033","4,097,913","2,135,252","2,097,704",3.27%,2.40%,6.01%,78.21%,37.95%,22.05%,32.88%,69.85%,-11.50%,-13.06%
"1.000   NO,  this doesn't look like an ex-JPEG image.",hoedf0p834v41.png,"264,098","242,614","239,301","208,969","525,158","195,195","195,910","211,562","226,228","190,824","183,455",24.29%,22.60%,7.06%,169.04%,35.30%,0.37%,8.38%,15.90%,-2.24%,-6.01%
"1.288 ! YES, this looks like an ex-JPEG image, no smoothing.",hsnfugk7mjh41.png,"449,981","308,112","296,103","270,388","473,892","243,204","263,114","273,123","315,765","242,956","217,601",26.69%,21.75%,11.18%,94.85%,85.02%,8.19%,12.30%,29.84%,-0.10%,-10.53%
1.090   Maybe. Try better methods.,hxuczcm4y3b51.png,"320,256","284,702","279,187","237,906","977,953","213,976","214,628","249,524","320,781","238,600","212,689",33.05%,30.48%,11.18%,357.04%,49.67%,0.30%,16.61%,49.91%,11.51%,-0.60%
"1.044   NO,  this doesn't look like an ex-JPEG image.",i74mgayxogp51.png,"1,374,662","793,902","753,200","473,146","1,483,982","394,177","397,076","461,750","1,290,653","512,812","466,162",101.41%,91.08%,20.03%,276.48%,248.74%,0.74%,17.14%,227.43%,30.10%,18.26%
"1.000   NO,  this doesn't look like an ex-JPEG image.",iAqUhG5.png,"152,880","139,566","139,745","110,882","542,438","97,654","99,050","129,682","177,692","105,664","98,388",42.92%,43.10%,13.55%,455.47%,56.55%,1.43%,32.80%,81.96%,8.20%,0.75%
"1.361 ! YES, this looks like an ex-JPEG image.",ielcx5cncxu51.png,"1,054,102","714,284","712,894","579,491","1,128,796","588,608","617,062","645,707","722,344","531,984","540,338",21.35%,21.12%,-1.55%,91.77%,79.08%,4.83%,9.70%,22.72%,-9.62%,-8.20%
"1.027   NO,  this doesn't look like an ex-JPEG image.",if5c868n2kd41.png,"2,169,468","1,392,924","1,355,967","1,078,399","2,222,299","1,024,911","1,064,654","1,115,354","1,199,480","934,232","978,211",35.91%,32.30%,5.22%,116.83%,111.67%,3.88%,8.82%,17.03%,-8.85%,-4.56%
"1.027   NO,  this doesn't look like an ex-JPEG image.",igzevwk4g4c41.png,"826,056","512,772","494,119","463,496","1,009,132","427,838","428,658","442,229","460,787","389,952","390,119",19.85%,15.49%,8.33%,135.87%,93.08%,0.19%,3.36%,7.70%,-8.86%,-8.82%
1.147   Maybe. Try better methods.,ij0p3nb0kxs31.png,"1,111,104","776,028","758,158","730,265","933,479","704,933","788,697","840,764","950,714","645,716","557,238",10.09%,7.55%,3.59%,32.42%,57.62%,11.88%,19.27%,34.87%,-8.40%,-20.95%
"1.172 ! YES, this looks like an ex-JPEG image, shifts: 3, 0.",ilklm5p46n341.png,"1,709,709","1,197,492","1,120,373","1,066,451","1,372,077","1,089,280","1,202,518","1,236,054","1,409,438","957,764","844,128",9.93%,2.85%,-2.10%,25.96%,56.96%,10.40%,13.47%,29.39%,-12.07%,-22.51%
1.073   Maybe. Try better methods.,inqwuakm7d341.png,"334,700","240,934","233,153","237,789","309,947","200,475","205,906","211,840","246,288","182,244","184,878",20.18%,16.30%,18.61%,54.61%,66.95%,2.71%,5.67%,22.85%,-9.09%,-7.78%
"1.038   NO,  this doesn't look like an ex-JPEG image.",ir4gnapl4sg41.png,"1,088,024","772,314","717,827","677,210","1,012,911","585,426","599,469","628,164","781,400","512,388","502,593",31.92%,22.62%,15.68%,73.02%,85.85%,2.40%,7.30%,33.48%,-12.48%,-14.15%
"1.000   NO,  this doesn't look like an ex-JPEG image.",iww25kr2mox51.png,"416,919","398,632","398,419","383,687","659,365","365,655","369,017","383,673","402,454","343,100","342,489",9.02%,8.96%,4.93%,80.32%,14.02%,0.92%,4.93%,10.06%,-6.17%,-6.34%
"4.100 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 7, 7.",j0e9kwo28bh41.png,"2,185,036","1,786,012","1,685,571","1,673,766","1,934,138","1,554,601","1,598,977","1,626,866","1,763,223","1,446,068","1,368,055",14.89%,8.42%,7.67%,24.41%,40.55%,2.85%,4.65%,13.42%,-6.98%,-12.00%
"1.000   NO,  this doesn't look like an ex-JPEG image.",j1z1vxfzhcw51.png,"426,067","269,638","262,013","228,036","520,473","206,937","208,756","216,138","226,560","181,836","190,846",30.30%,26.61%,10.20%,151.51%,105.89%,0.88%,4.45%,9.48%,-12.13%,-7.78%
1.068   Maybe. Try better methods.,j65e73c8gj941.png,"1,107,242","843,718","816,819","760,542","983,114","707,380","723,599","732,703","755,702","630,032","638,706",19.27%,15.47%,7.52%,38.98%,56.53%,2.29%,3.58%,6.83%,-10.93%,-9.71%
1.056   Maybe. Try better methods.,j65t42nyx8z51.png,"876,722","799,346","778,798","670,761","1,498,113","657,892","661,080","709,322","781,890","689,528","593,804",21.50%,18.38%,1.96%,127.71%,33.26%,0.48%,7.82%,18.85%,4.81%,-9.74%
"1.630 ! YES, this looks like an ex-JPEG image, no smoothing.",j6h1q9wi99d51.png,"1,338,809","996,316","946,060","937,382","1,285,917","800,495","843,370","879,291","993,453","757,840","707,838",24.46%,18.18%,17.10%,60.64%,67.25%,5.36%,9.84%,24.10%,-5.33%,-11.57%
"1.000   NO,  this doesn't look like an ex-JPEG image.",j6vbmy76qt141.png,"1,071,895","714,832","710,488","673,469","1,085,149","645,746","663,994","679,638","714,627","625,200","641,574",10.70%,10.03%,4.29%,68.05%,65.99%,2.83%,5.25%,10.67%,-3.18%,-0.65%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ji6van7szv041.png,"1,071,222","948,086","1,017,540","840,717","2,943,278","781,834","783,628","825,445","978,253","943,688","725,140",21.26%,30.15%,7.53%,276.46%,37.01%,0.23%,5.58%,25.12%,20.70%,-7.25%
"1.000   NO,  this doesn't look like an ex-JPEG image.",jiv7yt1vuho51.png,"9,927,236","6,970,574","6,718,644","6,521,967","17,950,031","6,683,990","6,729,789","7,017,948","7,015,608","6,282,516","6,247,760",4.29%,0.52%,-2.42%,168.55%,48.52%,0.69%,5.00%,4.96%,-6.01%,-6.53%
"1.033   NO,  this doesn't look like an ex-JPEG image.",jkric6z99uk41.png,"3,095,273","2,502,080","2,093,814","2,313,629","2,633,830","1,826,668","1,850,858","2,009,708","2,946,610","1,716,216","1,493,650",36.98%,14.62%,26.66%,44.19%,69.45%,1.32%,10.02%,61.31%,-6.05%,-18.23%
"1.000   NO,  this doesn't look like an ex-JPEG image.",jocleu6v8jk51.png,"507,071","447,996","446,408","327,538","1,559,851","292,100","294,256","358,544","462,789","334,360","281,163",53.37%,52.83%,12.13%,434.01%,73.60%,0.74%,22.75%,58.44%,14.47%,-3.74%
"1.000   NO,  this doesn't look like an ex-JPEG image.",jvv1pxwr2ju51.png,"7,229,686","5,710,876","4,876,252","5,263,437","7,662,939","4,473,233","4,580,093","4,904,896","6,338,175","4,225,744","3,652,377",27.67%,9.01%,17.67%,71.31%,61.62%,2.39%,9.65%,41.69%,-5.53%,-18.35%
"1.000   NO,  this doesn't look like an ex-JPEG image.",jxqsj1uh4hh41.png,"135,159","126,740","122,656","107,820","292,340","101,682","102,108","111,534","118,716","101,544","97,778",24.64%,20.63%,6.04%,187.50%,32.92%,0.42%,9.69%,16.75%,-0.14%,-3.84%
1.082   Maybe. Try better methods.,jy6t1neky0841.png,"809,541","578,468","561,488","529,765","728,909","489,012","513,900","581,635","880,865","497,860","418,667",18.29%,14.82%,8.33%,49.06%,65.55%,5.09%,18.94%,80.13%,1.81%,-14.39%
"1.000   NO,  this doesn't look like an ex-JPEG image.",k57f1dfp8t041.png,"942,952","905,986","887,651","784,158","1,726,623","760,183","762,901","797,200","826,400","711,972","722,183",19.18%,16.77%,3.15%,127.13%,24.04%,0.36%,4.87%,8.71%,-6.34%,-5.00%
1.110   Maybe. Try better methods.,kbqon05dxs061.png,"630,872","439,920","430,687","360,360","755,335","344,398","362,362","389,379","443,402","361,652","340,373",27.74%,25.06%,4.63%,119.32%,83.18%,5.22%,13.06%,28.75%,5.01%,-1.17%
"1.000   NO,  this doesn't look like an ex-JPEG image.",kbt7zy6zkgq51.png,"5,071,700","4,858,220","4,538,585","3,776,175","11,435,148","3,599,076","3,599,135","3,985,242","4,506,954","3,980,244","3,335,090",34.99%,26.10%,4.92%,217.72%,40.92%,0.00%,10.73%,25.23%,10.59%,-7.33%
"4.185 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 0, 7.",keegrsvww8c51.png,"796,640","596,830","580,614","545,142","714,925","498,209","515,656","539,220","638,849","458,508","442,792",19.80%,16.54%,9.42%,43.50%,59.90%,3.50%,8.23%,28.23%,-7.97%,-11.12%
"1.000   NO,  this doesn't look like an ex-JPEG image.",khfylsv09vv31.png,"2,682,397","1,755,388","1,720,558","1,447,516","2,958,583","1,433,263","1,475,863","1,520,078","1,637,848","1,362,372","1,306,725",22.47%,20.04%,0.99%,106.42%,87.15%,2.97%,6.06%,14.27%,-4.95%,-8.83%
"1.000   NO,  this doesn't look like an ex-JPEG image.",kja0ovsvlum51.png,"4,421,693","4,156,410","3,737,567","3,105,950","15,450,213","3,024,363","3,033,531","3,978,927","6,287,192","3,097,112","2,677,744",37.43%,23.58%,2.70%,410.86%,46.20%,0.30%,31.56%,107.88%,2.41%,-11.46%
1.108   Maybe. Try better methods.,kn316v6tkdn51.png,"71,318","65,600","64,264","59,469","224,369","55,557","55,419","64,908","79,273","58,816","52,150",18.08%,15.67%,7.04%,303.85%,28.37%,-0.25%,16.83%,42.69%,5.87%,-6.13%
"1.000   NO,  this doesn't look like an ex-JPEG image.",kqo9rc2onry51.png,"2,872,369","2,775,126","2,758,979","2,029,615","14,579,431","1,915,965","1,924,945","2,229,112","2,822,132","2,520,512","1,775,684",44.84%,44.00%,5.93%,660.94%,49.92%,0.47%,16.34%,47.30%,31.55%,-7.32%
"1.569 ! YES, this looks like an ex-JPEG image.",kyuujg497zf31.png,"12,282","11,686","8,813","8,263","25,961","8,936","8,544","10,752","27,212","6,116","7,960",30.77%,-1.38%,-7.53%,190.52%,37.44%,-4.39%,20.32%,204.52%,-31.56%,-10.92%
"1.000   NO,  this doesn't look like an ex-JPEG image.",kzv6may4lyk51.png,"173,274","171,514","171,194","122,260","996,025","109,761","110,240","135,898","190,813","129,580","113,071",56.26%,55.97%,11.39%,807.45%,57.86%,0.44%,23.81%,73.84%,18.06%,3.02%
"1.000   NO,  this doesn't look like an ex-JPEG image.",l06l0pkv83u51.png,"431,894","409,622","396,331","313,709","1,117,833","283,970","286,380","332,855","406,081","312,692","258,625",44.25%,39.57%,10.47%,293.64%,52.09%,0.85%,17.21%,43.00%,10.11%,-8.93%
"1.000   NO,  this doesn't look like an ex-JPEG image.",l7cw3t0kaad51.png,"662,764","596,716","627,325","491,709","982,975","420,584","422,792","461,053","1,208,761","483,004","360,800",41.88%,49.16%,16.91%,133.72%,57.58%,0.52%,9.62%,187.40%,14.84%,-14.21%
"1.000   NO,  this doesn't look like an ex-JPEG image.",labksbm1cyi51.png,"283,530","250,314","241,017","196,102","1,397,428","191,922","194,488","261,622","334,666","192,152","178,089",30.42%,25.58%,2.18%,628.12%,47.73%,1.34%,36.32%,74.38%,0.12%,-7.21%
"1.000   NO,  this doesn't look like an ex-JPEG image.",lc5kta4uvbs51.png,"377,010","364,320","355,002","322,766","1,105,200","293,286","292,326","341,241","416,322","334,768","268,061",24.22%,21.04%,10.05%,276.83%,28.55%,-0.33%,16.35%,41.95%,14.14%,-8.60%
"2.731 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 7, 7.",ldfuetschwe51.png,"2,963,941","2,063,950","2,002,304","1,732,380","2,897,495","1,514,842","1,660,542","1,855,896","2,249,666","1,491,804","1,312,300",36.25%,32.18%,14.36%,91.27%,95.66%,9.62%,22.51%,48.51%,-1.52%,-13.37%
"1.000   NO,  this doesn't look like an ex-JPEG image.",lffo1ffatun51.png,"331,530","306,066","297,301","254,184","826,691","228,063","229,915","265,265","316,076","252,472","208,680",34.20%,30.36%,11.45%,262.48%,45.37%,0.81%,16.31%,38.59%,10.70%,-8.50%
"1.171 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 2, 2.",lkcz7f8096t51.png,"636,442","477,884","460,938","456,756","554,401","401,409","410,391","414,770","447,740","369,052","372,975",19.05%,14.83%,13.79%,38.11%,58.55%,2.24%,3.33%,11.54%,-8.06%,-7.08%
"1.000   NO,  this doesn't look like an ex-JPEG image.",llecl3ewppx51.png,"164,138","106,682","104,657","97,914","219,283","94,381","94,949","99,815","103,906","93,812","90,346",13.03%,10.89%,3.74%,132.34%,73.91%,0.60%,5.76%,10.09%,-0.60%,-4.28%
"1.000   NO,  this doesn't look like an ex-JPEG image.",lqog06kn4xl51.png,"489,433","479,000","467,056","370,235","1,688,742","344,734","346,501","427,815","533,832","387,424","326,259",38.95%,35.48%,7.40%,389.87%,41.97%,0.51%,24.10%,54.85%,12.38%,-5.36%
"1.191 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 7, 7.",lyymmcve54841.png,"483,726","360,210","347,475","366,537","459,854","294,195","308,518","327,473","433,677","272,768","261,392",22.44%,18.11%,24.59%,56.31%,64.42%,4.87%,11.31%,47.41%,-7.28%,-11.15%
"1.201 ! YES, this looks like an ex-JPEG image, shifts: 0, 7.",mb7n0v12bfe51.png,"2,027,792","1,430,058","1,360,979","1,365,113","1,565,285","1,298,089","1,331,585","1,406,640","1,748,845","1,059,896","1,113,924",10.17%,4.84%,5.16%,20.58%,56.21%,2.58%,8.36%,34.72%,-18.35%,-14.19%
1.096   Maybe. Try better methods.,mcjesaqusa141.png,"2,409,284","1,576,686","1,525,229","1,365,303","2,833,421","1,540,206","1,553,917","1,608,106","1,455,473","1,241,784","1,200,839",2.37%,-0.97%,-11.36%,83.96%,56.43%,0.89%,4.41%,-5.50%,-19.38%,-22.03%
"1.000   NO,  this doesn't look like an ex-JPEG image.",mdz74asxvap51.png,"1,117,551","624,988","645,205","474,086","1,292,560","430,649","432,808","518,404","1,036,823","425,796","374,859",45.13%,49.82%,10.09%,200.14%,159.50%,0.50%,20.38%,140.76%,-1.13%,-12.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",mfht37fcjov31.png,"729,122","690,004","683,955","582,168","3,120,536","558,944","560,174","588,534","670,277","623,236","515,279",23.45%,22.37%,4.15%,458.29%,30.45%,0.22%,5.29%,19.92%,11.50%,-7.81%
"1.000   NO,  this doesn't look like an ex-JPEG image.",mg487d1ctv251.png,"2,210,119","1,394,752","1,314,089","1,459,503","2,721,274","1,117,732","1,122,021","1,170,764","1,320,000","1,095,968","1,015,116",24.78%,17.57%,30.58%,143.46%,97.73%,0.38%,4.74%,18.10%,-1.95%,-9.18%
1.089   Maybe. Try better methods.,mj660b39cer31.png,"231,379","214,932","212,111","187,912","417,973","176,957","177,665","188,714","196,355","168,980","171,452",21.46%,19.87%,6.19%,136.20%,30.75%,0.40%,6.64%,10.96%,-4.51%,-3.11%
"1.000   NO,  this doesn't look like an ex-JPEG image.",mm7d2w3zsul41.png,"296,414","275,298","266,166","253,482","619,636","245,100","247,087","264,235","274,558","250,208","228,533",12.32%,8.59%,3.42%,152.81%,20.94%,0.81%,7.81%,12.02%,2.08%,-6.76%
"1.000   NO,  this doesn't look like an ex-JPEG image.",msakckaxtyt41.png,"7,190,241","5,613,946","5,200,111","4,041,878","10,749,222","4,385,213","4,449,854","4,781,677","4,885,790","3,624,384","3,566,412",28.02%,18.58%,-7.83%,145.12%,63.97%,1.47%,9.04%,11.42%,-17.35%,-18.67%
"1.017   NO,  this doesn't look like an ex-JPEG image.",mvlzqie9kqe41.png,"1,080,004","701,608","692,793","585,195","1,791,174","556,537","561,943","602,496","668,888","555,600","511,797",26.07%,24.48%,5.15%,221.84%,94.06%,0.97%,8.26%,20.19%,-0.17%,-8.04%
"1.000   NO,  this doesn't look like an ex-JPEG image.",nEzAVOk.png,"815,854","530,768","508,699","454,274","1,094,803","428,596","431,202","458,784","475,494","415,876","401,325",23.84%,18.69%,5.99%,155.44%,90.36%,0.61%,7.04%,10.94%,-2.97%,-6.36%
"1.000   NO,  this doesn't look like an ex-JPEG image.",nm94tj2rwsf41.png,"540,423","383,940","376,138","296,587","736,594","311,903","331,935","356,799","372,626","306,548","273,465",23.10%,20.59%,-4.91%,136.16%,73.27%,6.42%,14.39%,19.47%,-1.72%,-12.32%
"1.031   NO,  this doesn't look like an ex-JPEG image.",nn30pa67tx741.png,"786,997","484,228","481,617","388,295","835,063","369,997","382,115","399,581","438,678","355,448","360,727",30.87%,30.17%,4.95%,125.69%,112.70%,3.28%,8.00%,18.56%,-3.93%,-2.51%
"1.000   NO,  this doesn't look like an ex-JPEG image.",NNXsPSc.png,"527,864","502,714","497,715","493,964","751,000","470,147","473,747","488,444","512,004","481,012","445,712",6.93%,5.86%,5.07%,59.74%,12.28%,0.77%,3.89%,8.90%,2.31%,-5.20%
"1.000   NO,  this doesn't look like an ex-JPEG image.",noctrucciqx41.png,"366,260","326,750","321,147","326,546","920,132","286,352","289,464","336,301","412,591","283,284","273,257",14.11%,12.15%,14.04%,221.33%,27.91%,1.09%,17.44%,44.09%,-1.07%,-4.57%
"1.000   NO,  this doesn't look like an ex-JPEG image.",nq4xlsirks841.png,"1,030,931","700,982","657,862","606,564","863,301","576,874","581,497","588,961","602,700","547,212","543,648",21.51%,14.04%,5.15%,49.65%,78.71%,0.80%,2.10%,4.48%,-5.14%,-5.76%
"1.000   NO,  this doesn't look like an ex-JPEG image.",o0ilan3v7fy51.png,"521,115","374,894","348,928","291,205","611,747","277,937","287,968","306,197","337,932","282,216","267,355",34.88%,25.54%,4.77%,120.10%,87.49%,3.61%,10.17%,21.59%,1.54%,-3.81%
"5.876 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 7, 1.",o2gft9yymuz51.png,"5,202,586","3,722,572","3,429,115","2,836,430","7,338,391","3,076,435","3,148,803","3,275,152","3,482,250","2,684,216","2,416,813",21.00%,11.46%,-7.80%,138.54%,69.11%,2.35%,6.46%,13.19%,-12.75%,-21.44%
