,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
"1.000   NO,  this doesn't look like an ex-JPEG image.",ocpbxmgz4am51.png,"3,399,800","3,422,040","3,273,186","2,597,883","12,706,486","2,692,481","2,694,144","3,149,337","3,878,771","2,409,764","2,181,694",27.10%,21.57%,-3.51%,371.92%,26.27%,0.06%,16.97%,44.06%,-10.50%,-18.97%
"1.000   NO,  this doesn't look like an ex-JPEG image.",oeuxjaekbvw51.png,"1,148,031","790,954","728,998","650,282","1,015,274","675,836","756,240","791,532","880,902","636,272","554,738",17.03%,7.87%,-3.78%,50.22%,69.87%,11.90%,17.12%,30.34%,-5.85%,-17.92%
"1.000   NO,  this doesn't look like an ex-JPEG image.",oew55ay7ve731.png,"3,621,749","2,341,940","2,258,761","1,908,843","3,644,953","1,844,427","1,910,585","1,961,176","2,119,973","1,782,424","1,712,497",26.97%,22.46%,3.49%,97.62%,96.36%,3.59%,6.33%,14.94%,-3.36%,-7.15%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ogqc4p4mfmx51.png,"367,647","321,812","311,361","268,710","1,061,294","253,158","254,099","275,143","296,630","226,784","250,068",27.12%,22.99%,6.14%,319.22%,45.22%,0.37%,8.68%,17.17%,-10.42%,-1.22%
"1.000   NO,  this doesn't look like an ex-JPEG image.",oklysuukkd941.png,"626,670","452,168","458,808","380,446","943,015","433,955","554,983","649,539","837,061","392,508","340,226",4.20%,5.73%,-12.33%,117.31%,44.41%,27.89%,49.68%,92.89%,-9.55%,-21.60%
1.057   Maybe. Try better methods.,os9paxzuu4q51.png,"11,270,407","7,454,774","7,068,496","7,040,805","29,820,355","7,029,783","7,115,572","8,100,361","8,110,153","7,160,608","6,313,673",6.05%,0.55%,0.16%,324.20%,60.32%,1.22%,15.23%,15.37%,1.86%,-10.19%
"1.000   NO,  this doesn't look like an ex-JPEG image.",otu2zhqpiyw51.png,"315,138","285,094","279,917","258,920","636,818","246,897","250,154","265,706","280,688","256,640","233,319",15.47%,13.37%,4.87%,157.93%,27.64%,1.32%,7.62%,13.69%,3.95%,-5.50%
1.083   Maybe. Try better methods.,oui538ut6pv31.png,"99,153","88,190","90,017","77,407","325,321","60,040","60,467","81,698","258,988","55,748","68,847",46.89%,49.93%,28.93%,441.84%,65.14%,0.71%,36.07%,331.36%,-7.15%,14.67%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ovk5vppmwc951.png,"247,900","231,202","232,529","220,039","423,389","192,627","194,534","208,251","528,496","253,080","173,761",20.03%,20.71%,14.23%,119.80%,28.69%,0.99%,8.11%,174.36%,31.38%,-9.79%
"1.027   NO,  this doesn't look like an ex-JPEG image.",p3a6qadovw441.png,"6,770,629","5,391,652","5,114,958","4,428,535","7,009,742","4,144,069","4,362,087","4,603,496","5,202,925","3,906,248","3,644,276",30.11%,23.43%,6.86%,69.15%,63.38%,5.26%,11.09%,25.55%,-5.74%,-12.06%
"1.000   NO,  this doesn't look like an ex-JPEG image.",pg2c58vp6cd51.png,"3,615,780","3,594,270","3,477,284","2,916,894","16,405,496","2,822,279","2,843,469","3,423,271","4,052,456","3,254,424","2,671,832",27.35%,23.21%,3.35%,481.29%,28.12%,0.75%,21.29%,43.59%,15.31%,-5.33%
"1.000   NO,  this doesn't look like an ex-JPEG image.",pjv0pvoqunq51.png,"227,519","220,288","218,964","185,073","737,925","172,580","173,773","215,210","257,486","191,596","163,453",27.64%,26.88%,7.24%,327.58%,31.83%,0.69%,24.70%,49.20%,11.02%,-5.29%
"1.000   NO,  this doesn't look like an ex-JPEG image.",pyintn56n7r51.png,"2,537,758","2,383,206","2,304,771","2,101,005","4,606,003","2,094,284","2,100,484","2,273,481","2,455,310","1,959,404","1,839,299",13.80%,10.05%,0.32%,119.93%,21.18%,0.30%,8.56%,17.24%,-6.44%,-12.18%
"1.000   NO,  this doesn't look like an ex-JPEG image.",q2zxhqs7llw41.png,"7,891,612","7,625,674","7,320,633","7,625,134","7,726,209","7,415,285","7,421,617","7,667,168","8,109,817","7,306,860","7,116,892",2.84%,-1.28%,2.83%,4.19%,6.42%,0.09%,3.40%,9.37%,-1.46%,-4.02%
1.115   Maybe. Try better methods.,q8ihdlk76f641.png,"251,468","176,130","157,807","162,116","315,563","137,471","140,999","149,237","202,827","147,080","122,806",28.12%,14.79%,17.93%,129.55%,82.92%,2.57%,8.56%,47.54%,6.99%,-10.67%
"1.000   NO,  this doesn't look like an ex-JPEG image.",qezu3cgk7iq51.png,"408,196","381,260","375,440","354,469","668,964","339,508","341,179","352,822","359,168","335,776","328,943",12.30%,10.58%,4.41%,97.04%,20.23%,0.49%,3.92%,5.79%,-1.10%,-3.11%
"3.693 ! YES, this looks like an ex-JPEG image with smoothing.",qghifttfrkd41.png,"197,271","123,306","118,078","101,136","307,722","96,409","99,991","113,875","136,617","97,224","88,292",27.90%,22.48%,4.90%,219.18%,104.62%,3.72%,18.12%,41.71%,0.85%,-8.42%
"1.000   NO,  this doesn't look like an ex-JPEG image.",qhu4z6gyg4e41.png,"569,242","568,960","547,125","471,738","2,071,304","409,154","406,194","460,864","767,898","432,632","378,816",39.06%,33.72%,15.30%,406.24%,39.13%,-0.72%,12.64%,87.68%,5.74%,-7.41%
"1.000   NO,  this doesn't look like an ex-JPEG image.",qlw9qiabhxg41.png,"95,871","89,518","88,916","70,462","419,876","64,589","64,599","90,599","118,620","69,684","62,574",38.60%,37.66%,9.09%,550.07%,48.43%,0.02%,40.27%,83.65%,7.89%,-3.12%
"1.509 ! YES, this looks like an ex-JPEG image, shifts: 7, 0.",qosbci2hw8441.png,"1,196,597","867,752","807,919","751,360","1,301,573","684,825","708,301","782,894","1,125,506","695,556","525,974",26.71%,17.97%,9.72%,90.06%,74.73%,3.43%,14.32%,64.35%,1.57%,-23.20%
"1.000   NO,  this doesn't look like an ex-JPEG image.",r0yk3kmy7aw31.png,"972,603","866,704","847,664","732,527","1,649,112","711,687","710,469","745,846","790,697","641,120","677,891",21.78%,19.11%,2.93%,131.72%,36.66%,-0.17%,4.80%,11.10%,-9.92%,-4.75%
"4.172 ! YES, this looks like an ex-JPEG image, no smoothing.",r4c9uy0ecih41.png,"1,276,164","1,042,262","976,054","976,590","1,126,282","896,554","928,065","937,062","1,029,079","842,344","818,742",16.25%,8.87%,8.93%,25.62%,42.34%,3.51%,4.52%,14.78%,-6.05%,-8.68%
"1.048   NO,  this doesn't look like an ex-JPEG image.",rg1dgzoqehv51.png,"82,010","77,628","76,375","71,956","186,540","70,373","71,134","76,444","80,702","73,580","70,930",10.31%,8.53%,2.25%,165.07%,16.54%,1.08%,8.63%,14.68%,4.56%,0.79%
"1.000   NO,  this doesn't look like an ex-JPEG image.",rgu0olj8ckt51.png,"652,618","620,820","639,885","581,007","2,813,882","531,665","513,465","596,751","806,046","656,372","464,494",16.77%,20.35%,9.28%,429.26%,22.75%,-3.42%,12.24%,51.61%,23.46%,-12.63%
1.070   Maybe. Try better methods.,rhg1wxvtijw51.png,"6,870,970","6,530,544","6,147,587","5,381,972","19,300,416","4,943,431","4,957,486","5,207,174","6,005,469","5,172,796","4,622,032",32.11%,24.36%,8.87%,290.43%,38.99%,0.28%,5.34%,21.48%,4.64%,-6.50%
"3.249 ! YES, this looks like an ex-JPEG image.",rnynhtqc3ji41.png,"319,507","208,810","197,672","171,324","419,197","160,485","171,769","191,445","233,149","159,828","137,804",30.11%,23.17%,6.75%,161.21%,99.09%,7.03%,19.29%,45.28%,-0.41%,-14.13%
"1.000   NO,  this doesn't look like an ex-JPEG image.",rox4kbum5zu31.png,"290,221","285,906","271,704","221,911","702,048","201,061","202,792","228,739","277,071","240,120","189,174",42.20%,35.14%,10.37%,249.17%,44.34%,0.86%,13.77%,37.80%,19.43%,-5.91%
"1.046   NO,  this doesn't look like an ex-JPEG image.",ryrd7w950jx31.png,"1,857,326","1,186,674","1,146,495","902,444","1,972,540","848,760","867,895","913,263","999,434","765,664","810,960",39.81%,35.08%,6.32%,132.40%,118.83%,2.25%,7.60%,17.75%,-9.79%,-4.45%
"1.035   NO,  this doesn't look like an ex-JPEG image.",s8bvhcua5z541.png,"222,197","214,250","215,052","162,517","924,158","150,540","150,780","185,086","244,252","175,012","150,515",42.32%,42.85%,7.96%,513.90%,47.60%,0.16%,22.95%,62.25%,16.26%,-0.02%
"1.231 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 7, 7.",sax87ltp5g741.png,"1,346,514","904,606","857,624","870,278","1,317,630","744,803","798,333","860,994","1,088,024","728,268","615,212",21.46%,15.15%,16.85%,76.91%,80.79%,7.19%,15.60%,46.08%,-2.22%,-17.40%
"1.000   NO,  this doesn't look like an ex-JPEG image.",sdd0ysmtkij41.png,"506,192","462,074","448,109","408,843","844,254","380,163","380,007","395,757","404,391","354,200","355,788",21.55%,17.87%,7.54%,122.08%,33.15%,-0.04%,4.10%,6.37%,-6.83%,-6.41%
"1.000   NO,  this doesn't look like an ex-JPEG image.",skiv0kpboxv31.png,"1,230,465","964,844","942,058","928,466","2,871,143","874,119","876,264","1,043,788","1,313,133","904,668","685,196",10.38%,7.77%,6.22%,228.46%,40.77%,0.25%,19.41%,50.22%,3.49%,-21.61%
1.105   Maybe. Try better methods.,sl5yo6xknfx51.png,"116,741","74,506","75,139","72,130","152,473","66,587","67,039","70,514","74,546","65,572","65,536",11.89%,12.84%,8.32%,128.98%,75.32%,0.68%,5.90%,11.95%,-1.52%,-1.58%
"1.040   NO,  this doesn't look like an ex-JPEG image.",slag4vc7fca51.png,"3,056,316","2,908,980","2,837,183","2,657,378","5,251,383","2,638,876","2,640,535","2,805,379","2,979,720","2,439,120","2,388,346",10.24%,7.51%,0.70%,99.00%,15.82%,0.06%,6.31%,12.92%,-7.57%,-9.49%
"1.000   NO,  this doesn't look like an ex-JPEG image.",sp7mrnkx50i41.png,"10,514","10,390","8,860","7,318","16,458","7,193","7,196","7,233","10,779","6,712","6,805",44.45%,23.18%,1.74%,128.81%,46.17%,0.04%,0.56%,49.85%,-6.69%,-5.39%
"1.000   NO,  this doesn't look like an ex-JPEG image.",st7o3sc94bl31.png,"474,498","443,354","434,793","412,629","738,050","382,460","383,727","390,964","398,411","357,072","355,695",15.92%,13.68%,7.89%,92.97%,24.06%,0.33%,2.22%,4.17%,-6.64%,-7.00%
1.060   Maybe. Try better methods.,sw15k7cd8bs51.png,"473,441","429,214","419,798","355,229","1,067,192","329,860","333,114","370,462","429,813","371,252","308,766",30.12%,27.27%,7.69%,223.53%,43.53%,0.99%,12.31%,30.30%,12.55%,-6.39%
"1.000   NO,  this doesn't look like an ex-JPEG image.",t8413jg2xhu51.png,"1,170,279","1,092,140","1,060,844","990,505","2,242,384","984,334","990,592","1,051,232","1,124,872","980,540","907,036",10.95%,7.77%,0.63%,127.81%,18.89%,0.64%,6.80%,14.28%,-0.39%,-7.85%
"1.037   NO,  this doesn't look like an ex-JPEG image.",ta2u6enmiya51.png,"1,496,391","1,227,996","1,162,501","1,118,602","1,464,710","1,008,178","1,033,097","1,090,042","1,203,338","896,348","879,527",21.80%,15.31%,10.95%,45.28%,48.43%,2.47%,8.12%,19.36%,-11.09%,-12.76%
"1.000   NO,  this doesn't look like an ex-JPEG image.",taijjquhxu341.png,"1,589,432","1,000,016","986,009","808,628","1,724,484","770,840","784,712","826,838","891,156","716,148","739,112",29.73%,27.91%,4.90%,123.71%,106.19%,1.80%,7.26%,15.61%,-7.10%,-4.12%
"1.000   NO,  this doesn't look like an ex-JPEG image.",te1grm8nt5951.png,"749,070","677,342","687,987","564,460","1,234,838","479,996","484,416","536,991","1,526,629","587,328","432,055",41.11%,43.33%,17.60%,157.26%,56.06%,0.92%,11.87%,218.05%,22.36%,-9.99%
"1.000   NO,  this doesn't look like an ex-JPEG image.",teyr9zmaz4941.png,"1,626,593","1,230,294","1,171,682","1,193,732","1,504,683","1,051,054","1,096,879","1,141,196","1,348,549","1,024,236","943,753",17.05%,11.48%,13.57%,43.16%,54.76%,4.36%,8.58%,28.30%,-2.55%,-10.21%
"1.000   NO,  this doesn't look like an ex-JPEG image.",toow1jwgurf51.png,"342,392","311,336","315,217","270,446","891,111","254,072","255,936","281,886","310,619","281,472","251,563",22.54%,24.07%,6.44%,250.73%,34.76%,0.73%,10.95%,22.26%,10.78%,-0.99%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ts6gs1zldis41.png,"2,045,018","1,308,102","1,288,804","1,010,133","2,380,999","959,821","982,124","1,045,214","1,165,984","935,452","922,328",36.29%,34.28%,5.24%,148.07%,113.06%,2.32%,8.90%,21.48%,-2.54%,-3.91%
"1.000   NO,  this doesn't look like an ex-JPEG image.",u493gucxt2f41.png,"483,225","467,796","462,453","399,469","1,315,736","373,950","375,841","432,001","507,339","409,928","346,692",25.10%,23.67%,6.82%,251.85%,29.22%,0.51%,15.52%,35.67%,9.62%,-7.29%
"1.000   NO,  this doesn't look like an ex-JPEG image.",u4dOzgH.png,"107,824","99,822","98,871","80,897","227,850","77,446","77,291","80,946","90,351","73,980","73,153",28.89%,27.66%,4.46%,194.20%,39.22%,-0.20%,4.52%,16.66%,-4.48%,-5.54%
"1.000   NO,  this doesn't look like an ex-JPEG image.",u6m88rkq6xf41.png,"4,011,071","2,886,134","2,666,485","2,533,319","3,566,723","2,401,175","2,432,349","2,477,451","2,528,483","2,254,532","2,134,813",20.20%,11.05%,5.50%,48.54%,67.05%,1.30%,3.18%,5.30%,-6.11%,-11.09%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ua53r4a192d41.png,"745,493","672,770","653,149","552,360","1,394,444","513,965","514,355","536,400","564,998","464,652","475,947",30.90%,27.08%,7.47%,171.31%,45.05%,0.08%,4.37%,9.93%,-9.59%,-7.40%
"1.000   NO,  this doesn't look like an ex-JPEG image.",uciu2pxv1xd31.png,"799,599","536,808","524,870","520,361","968,256","498,350","501,464","515,096","506,405","450,944","441,361",7.72%,5.32%,4.42%,94.29%,60.45%,0.62%,3.36%,1.62%,-9.51%,-11.44%
"1.000   NO,  this doesn't look like an ex-JPEG image.",udrw27yblkc41.png,"1,088,546","783,332","731,320","658,550","1,054,546","612,200","623,010","642,061","723,119","597,428","533,723",27.95%,19.46%,7.57%,72.26%,77.81%,1.77%,4.88%,18.12%,-2.41%,-12.82%
"1.809 ! YES, this looks like an ex-JPEG image, shifts: 0, 7.",uldt2kkdw1v51.png,"1,959,344","1,431,768","1,340,044","1,228,614","1,821,231","1,068,442","1,146,479","1,229,624","1,482,697","993,444","897,352",34.01%,25.42%,14.99%,70.46%,83.38%,7.30%,15.09%,38.77%,-7.02%,-16.01%
"1.000   NO,  this doesn't look like an ex-JPEG image.",upgakmt08yk41.png,"324,935","309,204","309,189","218,851","1,596,858","196,123","191,905","217,407","295,523","227,868","189,103",57.66%,57.65%,11.59%,714.21%,65.68%,-2.15%,10.85%,50.68%,16.19%,-3.58%
"1.000   NO,  this doesn't look like an ex-JPEG image.",uu4c5wtjlhz51.png,"724,082","666,886","684,060","563,962","1,175,690","476,857","480,346","545,902","1,515,741","583,380","434,873",39.85%,43.45%,18.27%,146.55%,51.84%,0.73%,14.48%,217.86%,22.34%,-8.80%
"1.028   NO,  this doesn't look like an ex-JPEG image.",uy4c4jrhafr51.png,"12,388,346","8,193,238","8,119,709","7,667,925","12,720,945","7,678,228","8,217,571","8,673,880","9,435,222","8,189,436","7,137,229",6.71%,5.75%,-0.13%,65.68%,61.34%,7.02%,12.97%,22.88%,6.66%,-7.05%
1.068   Maybe. Try better methods.,v6pqpfvabr541.png,"1,000,081","791,184","747,335","676,373","919,496","629,353","649,802","661,146","718,318","547,784","548,633",25.71%,18.75%,7.47%,46.10%,58.91%,3.25%,5.05%,14.14%,-12.96%,-12.83%
"1.000   NO,  this doesn't look like an ex-JPEG image.",v7exuwx459z31.png,"1,622,575","1,183,938","1,092,533","1,097,760","1,384,199","1,027,921","1,045,822","1,071,553","1,262,236","892,680","848,203",15.18%,6.29%,6.79%,34.66%,57.85%,1.74%,4.24%,22.80%,-13.16%,-17.48%
"1.027   NO,  this doesn't look like an ex-JPEG image.",VAE4M5C.png,"1,974,462","1,901,984","1,839,995","1,681,329","5,032,840","1,623,256","1,625,184","1,837,159","2,087,769","1,771,240","1,371,617",17.17%,13.35%,3.58%,210.05%,21.64%,0.12%,13.18%,28.62%,9.12%,-15.50%
"1.000   NO,  this doesn't look like an ex-JPEG image.",vd72fgizlvm51.png,"158,326","144,536","140,187","111,337","531,865","100,303","100,769","132,079","175,029","108,400","95,860",44.10%,39.76%,11.00%,430.26%,57.85%,0.46%,31.68%,74.50%,8.07%,-4.43%
"1.049   NO,  this doesn't look like an ex-JPEG image.",vg62jmm6vhh41.png,"1,289,053","965,584","936,077","911,259","1,080,991","875,114","884,555","902,663","950,922","836,028","814,254",10.34%,6.97%,4.13%,23.53%,47.30%,1.08%,3.15%,8.66%,-4.47%,-6.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",vi0nrwmldoe51.png,"638,349","571,820","612,341","471,040","973,585","409,281","410,471","448,903","1,195,971","474,644","355,422",39.71%,49.61%,15.09%,137.88%,55.97%,0.29%,9.68%,192.21%,15.97%,-13.16%
"1.000   NO,  this doesn't look like an ex-JPEG image.",viu3gx6ipko31.png,"1,708,475","1,142,902","1,055,862","1,005,801","1,809,609","867,575","932,677","1,050,409","1,387,671","957,752","731,713",31.74%,21.70%,15.93%,108.58%,96.93%,7.50%,21.07%,59.95%,10.39%,-15.66%
"1.000   NO,  this doesn't look like an ex-JPEG image.",vj7da7pp6l841.png,"2,236,119","1,384,576","1,388,410","1,107,752","2,381,304","1,078,960","1,124,843","1,175,455","1,295,568","1,039,040","1,007,629",28.33%,28.68%,2.67%,120.70%,107.25%,4.25%,8.94%,20.08%,-3.70%,-6.61%
"1.017   NO,  this doesn't look like an ex-JPEG image.",vkkb9n0gg4x51.png,"2,404,371","2,286,912","1,968,036","1,616,205","7,424,877","1,467,703","1,475,075","1,841,894","2,515,681","1,606,952","1,343,275",55.82%,34.09%,10.12%,405.88%,63.82%,0.50%,25.50%,71.40%,9.49%,-8.48%
"1.041   NO,  this doesn't look like an ex-JPEG image.",vrbcujpdkw341.png,"3,522,036","3,393,876","3,313,318","3,187,684","7,390,821","3,034,669","3,058,143","3,367,164","3,732,120","3,209,344","2,850,472",11.84%,9.18%,5.04%,143.55%,16.06%,0.77%,10.96%,22.98%,5.76%,-6.07%
"1.178 ! YES, this looks like an ex-JPEG image, shifts: 7, 0.",vuypwosdqb541.png,"1,172,896","917,904","876,052","804,508","1,095,784","750,041","775,159","802,212","886,679","669,168","648,780",22.38%,16.80%,7.26%,46.10%,56.38%,3.35%,6.96%,18.22%,-10.78%,-13.50%
"1.019   NO,  this doesn't look like an ex-JPEG image.",webvs6kvmv061.png,"536,337","507,646","502,034","433,331","1,042,359","370,851","373,821","448,522","1,297,483","400,020","351,359",36.89%,35.37%,16.85%,181.07%,44.62%,0.80%,20.94%,249.87%,7.87%,-5.26%
"1.000   NO,  this doesn't look like an ex-JPEG image.",wjlm4lmsmvz51.png,"162,564","156,066","154,471","128,749","458,428","119,450","120,075","135,023","161,997","130,360","116,230",30.65%,29.32%,7.78%,283.78%,36.09%,0.52%,13.04%,35.62%,9.13%,-2.70%
"1.000   NO,  this doesn't look like an ex-JPEG image.",WMATs1y.png,"70,621","67,622","66,953","53,188","188,309","50,217","50,384","57,834","65,167","54,580","49,547",34.66%,33.33%,5.92%,274.99%,40.63%,0.33%,15.17%,29.77%,8.69%,-1.33%
"1.000   NO,  this doesn't look like an ex-JPEG image.",wnuau72hudc41.png,"500,694","438,356","429,437","447,983","1,633,406","420,463","424,057","464,037","1,324,967","303,716","356,404",4.26%,2.13%,6.55%,288.48%,19.08%,0.85%,10.36%,215.12%,-27.77%,-15.24%
"1.000   NO,  this doesn't look like an ex-JPEG image.",wrlcnmbey8h51.png,"273,883","256,796","253,643","216,910","645,263","207,061","209,553","226,438","249,528","215,456","197,017",24.02%,22.50%,4.76%,211.63%,32.27%,1.20%,9.36%,20.51%,4.05%,-4.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",wvhiuw7rf7s51.png,"1,306,748","1,233,126","1,215,811","1,156,845","2,422,991","1,119,254","1,128,820","1,190,215","1,223,339","1,177,376","1,081,595",10.17%,8.63%,3.36%,116.48%,16.75%,0.85%,6.34%,9.30%,5.19%,-3.36%
"1.000   NO,  this doesn't look like an ex-JPEG image.",x2a59lzz0l841.png,"244,797","239,908","238,602","208,791","463,922","203,912","205,409","218,226","226,282","178,152","189,243",17.65%,17.01%,2.39%,127.51%,20.05%,0.73%,7.02%,10.97%,-12.63%,-7.19%
"1.000   NO,  this doesn't look like an ex-JPEG image.",x6iu1gs310v51.png,"381,019","369,542","368,772","329,193","1,202,198","309,012","311,835","362,935","424,943","333,788","284,593",19.59%,19.34%,6.53%,289.05%,23.30%,0.91%,17.45%,37.52%,8.02%,-7.90%
1.085   Maybe. Try better methods.,xec17ym8zuw51.png,"125,027","118,994","117,210","92,547","279,946","87,383","87,405","97,826","111,074","95,268","87,477",36.18%,34.13%,5.91%,220.37%,43.08%,0.03%,11.95%,27.11%,9.02%,0.11%
1.056   Maybe. Try better methods.,xgsm3y169hk41.png,"1,455,873","1,382,568","1,359,566","1,167,742","2,185,765","1,134,184","1,135,368","1,183,136","1,324,038","959,628","998,955",21.90%,19.87%,2.96%,92.72%,28.36%,0.10%,4.32%,16.74%,-15.39%,-11.92%
"1.000   NO,  this doesn't look like an ex-JPEG image.",xptmu1db53o31.png,"47,823","44,126","47,395","44,657","92,172","50,175","42,276","67,254","118,212","27,596","37,610",-12.06%,-5.54%,-11.00%,83.70%,-4.69%,-15.74%,34.04%,135.60%,-45.00%,-25.04%
"1.000   NO,  this doesn't look like an ex-JPEG image.",xv3ry3gz67z51.png,"777,583","586,436","550,771","464,797","994,902","450,256","471,593","507,082","573,128","467,968","435,374",30.25%,22.32%,3.23%,120.96%,72.70%,4.74%,12.62%,27.29%,3.93%,-3.31%
1.109   Maybe. Try better methods.,y5flaa15m9u31.png,"111,481","103,406","116,142","83,213","479,717","79,788","80,070","88,534","97,481","89,424","81,928",29.60%,45.56%,4.29%,501.24%,39.72%,0.35%,10.96%,22.18%,12.08%,2.68%
"1.000   NO,  this doesn't look like an ex-JPEG image.",y8m37i5vjo641.png,"1,529,706","1,067,402","994,233","1,041,421","1,694,032","759,105","793,699","945,117","1,697,440","780,820","599,274",40.61%,30.97%,37.19%,123.16%,101.51%,4.56%,24.50%,123.61%,2.86%,-21.06%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ycqqawdmoqw31.png,"1,723,482","1,121,082","1,089,703","847,575","1,801,372","776,491","807,705","851,549","936,009","707,452","753,791",44.38%,40.34%,9.15%,131.99%,121.96%,4.02%,9.67%,20.54%,-8.89%,-2.92%
1.084   Maybe. Try better methods.,yooka0rxmdg41.png,"4,206,767","4,144,750","3,946,118","3,285,109","16,618,292","3,298,936","3,203,448","3,707,971","4,330,802","3,659,708","2,960,974",25.64%,19.62%,-0.42%,403.75%,27.52%,-2.89%,12.40%,31.28%,10.94%,-10.24%
"1.050   NO,  this doesn't look like an ex-JPEG image.",yow939rlktw51.png,"623,645","570,958","556,282","532,663","1,158,275","504,067","506,980","544,394","576,221","523,816","475,442",13.27%,10.36%,5.67%,129.79%,23.72%,0.58%,8.00%,14.31%,3.92%,-5.68%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ywb9slhs0yq51.png,"1,161,073","1,070,348","1,047,993","873,618","2,136,943","826,748","831,338","893,582","978,386","778,552","761,445",29.46%,26.76%,5.67%,158.48%,40.44%,0.56%,8.08%,18.34%,-5.83%,-7.90%
"1.855 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 7, 7.",z6q5gvnuk3y31.png,"102,570","68,262","69,426","55,648","151,816","52,277","53,804","71,012","108,922","56,976","47,117",30.58%,32.80%,6.45%,190.41%,96.20%,2.92%,35.84%,108.36%,8.99%,-9.87%
"1.000   NO,  this doesn't look like an ex-JPEG image.",zcmes20wzwj31.png,"105,858","100,152","101,596","84,947","424,792","79,881","80,520","103,920","133,184","84,860","76,395",25.38%,27.18%,6.34%,431.78%,32.52%,0.80%,30.09%,66.73%,6.23%,-4.36%
"4.084 ! YES, this looks like an ex-JPEG image, no smoothing.",zgtofh8e5cp31.png,"1,236,723","1,003,442","933,629","848,760","1,131,633","829,594","899,898","956,999","1,117,467","863,204","783,967",20.96%,12.54%,2.31%,36.41%,49.08%,8.47%,15.36%,34.70%,4.05%,-5.50%
"1.049   NO,  this doesn't look like an ex-JPEG image.",znzr9zvabbj31.png,"2,531,242","1,677,684","1,629,302","1,376,543","2,660,647","1,338,403","1,366,048","1,431,906","1,552,613","1,245,952","1,234,485",25.35%,21.73%,2.85%,98.79%,89.12%,2.07%,6.99%,16.00%,-6.91%,-7.76%
"1.233 ! YES, this looks like an ex-JPEG image, shifts: 7, 7.",zvg2y872b1p41.png,"1,431,691","1,038,904","978,862","918,280","1,382,483","742,896","801,967","875,547","1,139,563","691,884","649,365",39.85%,31.76%,23.61%,86.09%,92.72%,7.95%,17.86%,53.39%,-6.87%,-12.59%
1.063   Maybe. Try better methods.,zvlk592waga51.png,"2,663,946","1,744,018","1,644,286","1,495,577","2,532,176","1,382,182","1,439,225","1,536,454","2,016,692","1,193,312","1,123,329",26.18%,18.96%,8.20%,83.20%,92.73%,4.13%,11.16%,45.91%,-13.66%,-18.73%